"Conference title","Conference code","Joint","Year","Publisher","Ineligible","Duplicate or not available?","Completed","In Anthology?","URL","Editors","Dates held","Location","Complete PDF","Type","Notes","file_name","","","","","","","","","","","","","","","","","",""
"International Joint Conference on Natural Language Processing (IJCNLP)","","","2009","","FALSE","FALSE","FALSE","FALSE","None","","August 2-7","Singapore","","None","","","","","","","","","","","","","","","","","","","",""
"International Joint Conference on Natural Language Processing (IJCNLP)","","","2011","","FALSE","FALSE","FALSE","FALSE","None","","November 8-13","Chiang Mai, Thailand","","None","","","","","","","","","","","","","","","","","","","",""
"International Symposium on Data and Sense Mining, Machine Translation and Controlled Languages (ISMTCL)","ismtcl","","2009","","FALSE","FALSE","TRUE","FALSE","http://www.mt-archive.info/05/ISMTCL-2009-abstracts.htm","","July 1-3","Besançon France","","TOC","","2009.ismtcl","","","","","","","","","","","","","","","","","",""
"NII Test Collection for IR systems (National Institute of Informatics, Tokyo, Japan) [NTCIR]","","","1999","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/jnl/NTCIR-TOC.htm","","August 30 - September 1","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"NII Test Collection for IR systems (National Institute of Informatics, Tokyo, Japan) [NTCIR]","","","2001","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/jnl/NTCIR-TOC.htm",""," March 7-9","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"NII Test Collection for IR systems (National Institute of Informatics, Tokyo, Japan) [NTCIR]","","","2002","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/jnl/NTCIR-TOC.htm","","October 8-10","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"NII Test Collection for IR systems (National Institute of Informatics, Tokyo, Japan) [NTCIR]","","","2004","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/jnl/NTCIR-TOC.htm","","June 2-4","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"NII Test Collection for IR systems (National Institute of Informatics, Tokyo, Japan) [NTCIR]","","","2005","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/jnl/NTCIR-TOC.htm","","December 6-9","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"NII Test Collection for IR systems (National Institute of Informatics, Tokyo, Japan) [NTCIR]","","","2007","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/jnl/NTCIR-TOC.htm","","May 15-18","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"NII Test Collection for IR systems (National Institute of Informatics, Tokyo, Japan) [NTCIR]","","","2008","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/jnl/NTCIR-TOC.htm","","December 16-19","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"NTCIR workshops","","","2008","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/05/NTCIR-2008-PATMT-TOC.htm","","","Tokyo Japan","","TOC","","","","","","","","","","","","","","","","","","","",""
"International Workshop Modern Approaches in Translation Technologies Proceedings(Held in conjonction with Recent Advances in Natural Language Processing (RANLP))","matt? ranlp?","","2005","","FALSE","FALSE","TRUE","FALSE","http://www.mt-archive.info/05/RANLP-2005-TOC.htm","Walther v.Hahn and John Hutchins and Cristina Vertan","September 24","Borovets Bulgaria","","TOC","","2005.matt","","","","","","","","","","","","","","","","","",""
"Recent Advances in Natural Language Processing (RANLP)","","","2009","","FALSE","FALSE","FALSE","FALSE","None","","September 14-16","Bulgaria","","None","","","","","","","","","","","","","","","","","","","",""
"Recent Advances in Natural Language Processing (RANLP)","","","2011","","FALSE","FALSE","FALSE","FALSE","None","","September 12-14","Bulgaria","","None","","","","","","","","","","","","","","","","","","","",""
"Speech and Language Technology for Minority Languages (SALTMIL)","","","1998","","FALSE","FALSE","FALSE","FALSE","None","","May 27","Granada, Spain","","None","","","","","","","","","","","","","","","","","","","",""
"Speech and Language Technology for Minority Languages (SALTMIL)","saltmil","","2006","","FALSE","FALSE","TRUE","FALSE","http://www.mt-archive.info/05/LREC-2006-SALTMIL-WS.pdf","","May 23","LREC Italy","","PDF","","2006.saltmil","","","","","","","","","","","","","","","","","",""
"Speech and Language Technology for Minority Languages (SALTMIL)","saltmil","","2009","","FALSE","FALSE","TRUE","FALSE","http://www.mt-archive.info/05/SALTMIL-2009.pdf","","September 7","Spain","","PDF","","2009.saltmil","","","","","","","","","","","","","","","","","",""
"Speech and Language Technology for Minority Languages (SALTMIL)","saltmil","","2010","","FALSE","FALSE","TRUE","FALSE","http://www.mt-archive.info/10/LREC-2010-SALTMIL-WS.pdf","","May 23","LREC","","PDF","","2010.saltmil","","","","","","","","","","","","","","","","","",""
"Speech and Language Technology for Minority Languages (SALTMIL)","saltmil","","2012","","FALSE","FALSE","TRUE","FALSE","http://www.mt-archive.info/10/SALTMIL-2012.pdf","","May 22","","","PDF","","2012.saltmil","","","","","","","","","","","","","","","","","",""
"Speech and Natural Language","","","1989","","FALSE","FALSE","FALSE","FALSE","None","","","Philadelphia 
 Pennsylvania","","None","","","","","","","","","","","","","","","","","","","",""
"Speech and Natural Language","","","1989","","FALSE","FALSE","FALSE","FALSE","None","","","Massachusetts","","None","","","","","","","","","","","","","","","","","","","",""
"Speech and Natural Language","","","","","FALSE","FALSE","FALSE","FALSE","None","","","Pennsylvania","","None","","","","","","","","","","","","","","","","","","","",""
"Speech and Natural Language","","","","","FALSE","FALSE","FALSE","FALSE","None","","","","","None","","","","","","","","","","","","","","","","","","","",""
"Speech and Natural Language","","","","","FALSE","FALSE","FALSE","FALSE","None","","","New York","","None","","","","","","","","","","","","","","","","","","","",""
