Conference Title,Year,Month,Day,place,has TOC?,Link
North American Chapter of the Association for Computational Linguistics (NAACL),['20'],N/A,N/A,"
 ",yes,http://www.mt-archive.info/00/NAACL-ANLP-2000-TOC.htm
North American Chapter of the Association for Computational Linguistics (NAACL),2003,N/A,N/A,"
 ",yes,http://www.mt-archive.info/00/HLT-NAACL-2003-TOC.htm
North American Chapter of the Association for Computational Linguistics (NAACL),2006,N/A,N/A,"
 ",yes,http://www.mt-archive.info/05/HLT-NAACL-2006-WS-MST-TOC.htm
North American Chapter of the Association for Computational Linguistics (NAACL),2006,N/A,N/A,,yes,http://www.mt-archive.info/05/WMT-2006-TOC.htm
North American Chapter of the Association for Computational Linguistics (NAACL),2007,Apr,26,"
 Syntax 
 ",yes,http://www.mt-archive.info/05/SSST-2007-TOC.htm
North American Chapter of the Association for Computational Linguistics (NAACL),['20'],Jun,5,"Syntax 
 ",yes,http://www.mt-archive.info/05/SSST-2009-TOC.htm
Computational Linguistics Coling,N/A,N/A,N/A,"
 ",no,
Computational Linguistics Coling,['20'],Sep,1,,yes,http://www.mt-archive.info/00/Coling-2002-TOC.htm
Computational Linguistics Coling,2012,N/A,N/A,"
 ",yes,http://www.mt-archive.info/10/Coling-2012-WS-RSMT.htm
Computational Linguistics Coling,2012,N/A,N/A,"
 
 
 ",yes,http://www.mt-archive.info/10/Coling-2012-WS-ML4HMT.htm
European Association for Computational Linguistics (EACL),N/A,N/A,N/A,,no,
European Association for Computational Linguistics (EACL),['20'],Mar,13,"
 France ",yes,http://www.mt-archive.info/10/EACL-2012-WS-TOC.htm
"European Summer School on Logic, Linguistics and Information (ESSLLI)",N/A,N/A,N/A,,no,
"European Summer School on Logic, Linguistics and Information (ESSLLI)",['1998'],N/A,N/A,Saarbrücken ,yes,http://www.mt-archive.info/90/ESSLLI-1998-TOC.htm
Human Language Technology HLT,N/A,N/A,N/A,,no,
Human Language Technology HLT,2003,N/A,N/A,"
 ",yes,http://www.mt-archive.info/00/HLT-NAACL-2003-TOC.htm
Human Language Technology HLT,2006,N/A,N/A,"
 ",yes,http://www.mt-archive.info/05/HLT-NAACL-2006-WS-MST-TOC.htm
Human Language Technology HLT,2006,N/A,N/A,"
 ",yes,http://www.mt-archive.info/05/WMT-2006-TOC.htm
Human Language Technology HLT,2007,Apr,26,"
 Syntax 
 ",yes,http://www.mt-archive.info/05/SSST-2007-TOC.htm
Human Language Technology HLT,['20'],N/A,N/A,"
 ",yes,http://www.mt-archive.info/05/WMT-2008-TOC.htm
Human Language Technology HLT,['20'],N/A,N/A,,yes,http://www.mt-archive.info/05/SSST-2008-TOC.htm
Human Language Technology HLT,['20'],Jun,5,,yes,http://www.mt-archive.info/05/SSST-2009-TOC.htm
Language Resources and Evaluation (LREC),N/A,N/A,N/A,,no,
Language Resources and Evaluation (LREC),2000,May,29,"LREC 
 ",yes,http://www.mt-archive.info/00/LREC-2000-TOC.htm
Language Resources and Evaluation (LREC),2002,May,27,LREC ,no,http://www.mt-archive.info/00/LREC-2002-WS-MTEval.pdf
Language Resources and Evaluation (LREC),2002,May,27,"LREC 
 
 ",no,http://www.mt-archive.info/00/LREC-2002-WS-UNL.pdf
Language Resources and Evaluation (LREC),2004,May,25,"LREC 
 ",no,http://www.mt-archive.info/00/LREC-2004-WS-Corpora.pdf
Language Resources and Evaluation (LREC),5391,May,23,"LREC 
 ",no,http://www.mt-archive.info/05/LREC-2006-SALTMIL-WS.pdf
Language Resources and Evaluation (LREC),2012,May,26,"LREC 
 
 ",yes,http://www.mt-archive.info/10/BUCC-2012-TOC.htm
